# python=3.12.3
# platform=Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.39
# cpu=Intel(R) Core(TM) i5-14400F
# governor=WSL, governor uncontrolled
# cryptography=45.0.7
# blspy=2.0.3
# cbor2=5.8.0
# msgpack=1.2.1
# run=direction_c_survey
# protocol=docs/DIRECTION_C_SURVEY_PROTOCOL.md (committed eb3eda5, data-free)
# config_hash=9093abee868ad637
# ⚠️ UNREADABLE rows are EXCLUDED from the denominator (protocol §3):
#    a scanned PDF yields zero hits for reasons unrelated to its authors.
paper,ns3,pilot,chars_extracted,keyword_hits,verdict,adjudication_note,hit_contexts,extract_error
magrin2020_lorawan_parameter_settings_ns3,1,0,52962,1,NONE,"IEEE IoT-J 2020, DOI 10.1109/JIOT.2019.2946487, OA copy arXiv:1906.05083. Sole hit is a FALSE POSITIVE: 'implementing a packet repetition strategy' is the LoRaWAN protocol's repetition feature. ⚠️ THE MOST CONSEQUENTIAL ENTRY IN THE CORPUS: these are the authors of the ns-3 LoRaWAN module this thesis uses, and their own parameter study states no seed count, run count, CI or dispersion. The reporting standard the field inherits is set here.","ference in the time and frequency domains. It is observed that when implementing a packet repetition strategy, i.e., transmitting each message multiple times, the failure probability reduces",
ramanathan2025_mesh_augmentation_lorawan_ns3,1,0,97545,2,NONE,arXiv 2512.00161. Both hits FALSE POSITIVES. (1) 'Seed Studio WM1302' -- the HARDWARE VENDOR name (Seeed Studio) matching `seed`. This is exactly the false-positive class the protocol anticipated and is the strongest argument yet for hand adjudication: a keyword sweep alone would have scored this paper REPORTS on a company name. (2) 'the procedure is repeated from where the pointer is left off' describes their algorithm.,"and LIMA Gateway by modifiying the LoRaWAN software on a commercial LoRaWAN Gateway (the Seed Studio WM1302) and Raspberry Pi HAT add-on board. Using a Dragino tem- perature and humid || up pointing to the first un-included ED in the buffer. For the next REM, the procedure is repeated from where the pointer is left off. An ED is only included once in each REM. The direct r",
reliable_uplink_lorawan_dcoss2019_ns3,1,0,48872,3,REPORTS,"arXiv 2009.09397 (DCOSS 2019). Verdict REPORTS on a direct quotation: 'the experimental results of ACK delay and consumed energy using ns-3 are collected from 100 simulation runs, and the average is calculated.' An explicit run count. Corroborated by 'we carried out multiple simulation runs in ns-3'. The third hit ('replicating the operation of large number of network devices') is a false positive. SECOND counter-example to our own H1.","rend with the increasing duty cycle. It is important to note that with higher duty cycle (replicating the operation of large number of network devices) a difference is observed between real n || e experimental results of ACK delay and consumed energy using ns-3 are collected from 100 simulation runs, and the average is calculated. For the consumed energy resources, we use the speciﬁcatio || he choice of receive slot in each successive ( nth) transmission, we carried out multiple simulation runs in ns-3 with each set of devices (in Fig. 6). The results give us the probabilities for t",
reynders2018_lorawan_module_wns3,1,0,43588,0,NONE,"ACM WNS3 2018, DOI 10.1145/3199902.3199913; OA copy KU Leuven Lirias. Added 2026-08-08. Awaiting hand adjudication.",,
saraereh2020_uav_lora_disaster_ns3,1,0,58316,1,NONE,"Sensors 2020, DOI 10.3390/s20082396, via Europe PMC. Sole hit is a FALSE POSITIVE: 'the said process is repeated until convergence' describes k-means iteration.",is used as a new centroid in the next iteration of the algorithm and the said process is repeated until convergence. One of the main disadvantages of k-means is that it needs to know from,
sf_selection_mobile_lora_gateways_ns3_2025,1,0,26048,0,NONE,arXiv 2507.19938. Added 2026-08-08 in the n->20 sweep. Awaiting hand adjudication.,,
swifeed_smart_water_iot_ns3_2024,1,0,15913,0,NONE,arXiv 2404.07692. Added 2026-08-08 in the n->20 sweep. Awaiting hand adjudication.,,
titolara2025_lorawan_80211ah_interference_ns3,1,0,56407,9,REPORTS,"Sensors 2025, DOI 10.3390/s25226924, via Europe PMC. ⚠️ THE MOST INSTRUCTIVE CASE IN THE CORPUS, and the one that proves H1 is about REPORTING and not about practice (protocol §1). They state their replication information completely: 'we fix the NS-3 random seed at runtime --seed=1; all reported results correspond to a single run per scenario', 'Each configuration was executed once (R = 1)', and 'the figures report the single-run outcome ... (no averaging across repetitions and no confidence intervals)'. Verdict REPORTS: a reader can judge the evidence exactly, and what they learn is that there is one run. Scoring this NONE because we dislike R=1 would silently convert H1 from a reporting claim into a practice claim, which §1 forbids in terms.","used in the path loss model and the previously detailed SINR calculation. To enable exact replication, we fix the NS-3 random seed at runtime --seed=1; all reported results correspond to a si || previously detailed SINR calculation. To enable exact replication, we fix the NS-3 random seed at runtime --seed=1; all reported results correspond to a single run per scenario with th || d SINR calculation. To enable exact replication, we fix the NS-3 random seed at runtime --seed=1; all reported results correspond to a single run per scenario with that seed. Sensors 2 || runtime --seed=1; all reported results correspond to a single run per scenario with that seed. Sensors 2025, 25, 6924 13 of 20 4.8. Automation Tool To orchestrate the end-to-end proce || tinct configuration points. Each configuration was executed once (R = 1) with a fixed RNG seed and identical PHY/MAC settings across the sweep. Consequently, the figures report the sin || , the figures report the single-run out- come for each configuration (no averaging across repetitions and no confidence intervals). This choice keeps the full coexistence sweep tractable and",
to2018_lora_ns3_csma,1,1,33280,0,NONE,hits are figure captions comparing measurements against a single ns-3 simulation.,,
traspadini2025_lora_ntn_ns3,1,1,33478,1,NONE,sole hit is a FALSE POSITIVE: 'Hybrid Automatic Repeat reQuest' matching `repeat`.,for this delay during scheduling [23]. Radio Resource Control (RRC) and Hybrid Automatic Repeat reQuest (HARQ) timers have also been properly adjusted to account for the long propagatio,
vandenabeele2017_lorawan_ns3_scalability,1,1,61383,0,NONE,"5 'average' hits all refer to the TRAFFIC MODEL (Poisson rate, SF distribution); 'each simulation is run for a simulation time equal to hundred times the upstream period' is DURATION not repetitions. Adjudicated by hand 2026-08-07.",,
